schema_version,ts,timeframe,source,open,high,low,close,volume,received_at,close_confirmed_at,is_closed,quality_flags
1,2021-08-16T00:00:00Z,1h,coinbase-exchange:BTC-USD,47014.38,47847,46804.52,47580.68,1130.54758981,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T01:00:00Z,1h,coinbase-exchange:BTC-USD,47580.67,47724,47515.24,47676.57,308.24351541,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T02:00:00Z,1h,coinbase-exchange:BTC-USD,47676.57,48009.99,47586.24,48009.99,657.51221051,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T03:00:00Z,1h,coinbase-exchange:BTC-USD,48009.98,48076.52,47340.42,47384.13,616.02941767,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T04:00:00Z,1h,coinbase-exchange:BTC-USD,47384.13,47585.79,47376.92,47424.28,262.96019586,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T05:00:00Z,1h,coinbase-exchange:BTC-USD,47424.27,47644.71,47424.27,47636.19,129.7741472,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T06:00:00Z,1h,coinbase-exchange:BTC-USD,47632.62,47743.55,47220.27,47372.05,264.27903854,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T07:00:00Z,1h,coinbase-exchange:BTC-USD,47374.79,47533.15,47322.33,47332.57,130.99467855,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T08:00:00Z,1h,coinbase-exchange:BTC-USD,47332.57,47436.46,47010,47155.83,210.9054238,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T09:00:00Z,1h,coinbase-exchange:BTC-USD,47157.24,47257.55,47055.01,47194.49,128.27067323,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T10:00:00Z,1h,coinbase-exchange:BTC-USD,47190.35,47571.04,47190.3,47434.79,201.86295111,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T11:00:00Z,1h,coinbase-exchange:BTC-USD,47434.79,47681.59,47392.27,47554.29,205.86016856,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T12:00:00Z,1h,coinbase-exchange:BTC-USD,47554.3,47724.05,47175.39,47322.71,360.90246649,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T13:00:00Z,1h,coinbase-exchange:BTC-USD,47322.71,47391.5,46314.98,46419.17,961.132253,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T14:00:00Z,1h,coinbase-exchange:BTC-USD,46430.56,46592.93,46087.17,46099.01,789.67233805,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T15:00:00Z,1h,coinbase-exchange:BTC-USD,46099.01,46399.99,45969.77,46369.52,787.94208317,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T16:00:00Z,1h,coinbase-exchange:BTC-USD,46369.52,46547.79,46238.05,46450.98,392.73458462,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T17:00:00Z,1h,coinbase-exchange:BTC-USD,46457.82,46540.74,46194.06,46487,379.48323614,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T18:00:00Z,1h,coinbase-exchange:BTC-USD,46484.02,46671.47,46392.72,46494.14,297.76648837,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T19:00:00Z,1h,coinbase-exchange:BTC-USD,46494.14,46494.14,46056.79,46098.38,399.4309626,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T20:00:00Z,1h,coinbase-exchange:BTC-USD,46098.4,46125.71,45676.91,46078.55,907.77901617,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T21:00:00Z,1h,coinbase-exchange:BTC-USD,46073.85,46250,45900,46070.61,326.25192749,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T22:00:00Z,1h,coinbase-exchange:BTC-USD,46070.61,46352.43,46008.51,46135.77,263.55645833,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-16T23:00:00Z,1h,coinbase-exchange:BTC-USD,46136.9,46202.08,45729.86,45902.46,353.76849007,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T00:00:00Z,1h,coinbase-exchange:BTC-USD,45903.22,46093.25,45259,45773.45,819.0644115,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T01:00:00Z,1h,coinbase-exchange:BTC-USD,45777.8,46390.75,45738.56,46299.01,516.44046353,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T02:00:00Z,1h,coinbase-exchange:BTC-USD,46301.77,46485.37,46164.01,46466.03,374.05326364,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T03:00:00Z,1h,coinbase-exchange:BTC-USD,46468.75,46646.41,46354.04,46438.42,362.4773465,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T04:00:00Z,1h,coinbase-exchange:BTC-USD,46438.87,46609.6,46271.78,46391.24,204.03005084,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T05:00:00Z,1h,coinbase-exchange:BTC-USD,46391.24,46480.33,46052.25,46057.16,197.12726092,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T06:00:00Z,1h,coinbase-exchange:BTC-USD,46052.26,46124.16,45740,45760.51,352.6640537,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T07:00:00Z,1h,coinbase-exchange:BTC-USD,45764.59,46019.9,45656,45958.64,256.67369888,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2021-08-17T08:00:00Z,1h,coinbase-exchange:BTC-USD,45958.41,46375.5,45895.82,46209.03,145.04685472,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
